name;task;competence;willingness
alice;search;0.1;1.0
alice;rescue;0.30000000000000004;1.0
alice;search;0.20000000000000004;1.0
alice;rescue;0.6000000000000001;1.0
alice;search;0.30000000000000004;1.0
alice;rescue;1.0;1.0
ben;search;-0.5;0.8
ben;rescue;0.30000000000000004;1.0
ben;search;-1.0;5.551115123125783e-17
ben;rescue;0.9000000000000001;1.0
ben;search;-0.7000000000000001;0.09999999999999998
ben;rescue;1.0;1.0
charlie;search;0.7;0.6000000000000001
charlie;rescue;0.8;1.0
charlie;search;-0.6000000000000002;-0.19999999999999996
charlie;rescue;0.6000000000000001;0.8
charlie;search;-1.0;-1.0
charlie;rescue;0.6000000000000001;0.8
